File,Group,Visible,Title,Description
Brudd.kml,Driftsdata,1,Bruddhistorikk,
Spyling.kml,Driftsdata,1,Spyling,
Tilstopping.kml,Driftsdata,1,Tilstopping,
Sewage-Age.kml,Aldersanalyser,1,Alder avløp,
Stormwater-Age.kml,Aldersanalyser,1,Alder overvann,
Water-Age.kml,Aldersanalyser,1,Alder vann,
Sewage-Haselevation.kml,Høydeanalyser,0,Høyder avløp,
Stormwater-Haselevation.kml,Høydeanalyser,0,Høyder overvann,
Water-Haselevation.kml,Høydeanalyser,0,Høyder vann,
Sewage-Material.kml,Materialanalyser,0,Materialer avløp,
Stormwater-Material.kml,Materialanalyser,0,Materialer overvann,
Water-Material.kml,Materialanalyser,0,Materialer vann,
Sewage-Dimension.kml,Dimensjonsanalyser,0,Dimensjoner avløp,
Stormwater-Dimension.kml,Dimensjonsanalyser,0,Dimensjoner overvann,
Water-Dimension.kml,Dimensjonsanalyser,0,Dimensjoner vann,
Sewage-Sanitationneeds-NV196.kml,Saneringsbehov,0,Saneringsbehov avløp,
Stormwater-Sanitationneeds-NV196.kml,Saneringsbehov,0,Saneringsbehov overvann,
Water-Sanitationneeds-NV196.kml,Saneringsbehov,0,Saneringsbehov vann,
